Time	Treating Pressure	Flow Rate	Density	Volume	CMT Return Press	CMT Return Rate	CMT Return Dens	NRD Return Tot
mm:dd:yyyy:hh:mm:ss	bars	l/min	sgu	m3	bars	l/min	sgu	m3
____	______________	________	________	_______	________________	_______________	_______________	______________	
12:15:2023:13:26:54	3.0	277.1	1.09	0.005	0.9	0.0	1.01	0.0
12:15:2023:13:26:55	3.0	277.1	1.09	0.005	0.9	0.0	1.01	0.0
12:15:2023:13:26:56	3.0	277.1	1.09	0.005	0.9	0.0	1.02	0.0
12:15:2023:13:26:57	3.0	283.1	1.09	0.005	0.9	0.0	1.03	0.0
12:15:2023:13:26:58	3.0	277.1	1.09	0.005	0.9	0.0	1.03	0.0
12:15:2023:13:26:59	3.0	280.1	1.09	0.005	0.9	0.0	1.03	0.0
12:15:2023:13:27:00	3.0	283.2	1.09	0.005	0.9	0.0	1.04	0.0
12:15:2023:13:27:01	3.0	286.3	1.09	0.005	0.9	0.0	1.04	0.0
12:15:2023:13:27:02	3.0	286.3	1.09	0.005	0.9	0.0	1.05	0.0
12:15:2023:13:27:03	3.0	280.1	1.09	0.005	0.9	0.0	1.04	0.0
12:15:2023:13:27:04	3.0	274.2	1.09	0.005	0.9	0.0	1.03	0.0
12:15:2023:13:27:05	3.0	283.2	1.09	0.005	0.9	0.0	1.03	0.0
12:15:2023:13:27:06	3.0	277.1	1.09	0.005	0.9	0.0	1.03	0.0
12:15:2023:13:27:07	3.0	274.2	1.09	0.005	0.9	0.0	1.02	0.0
12:15:2023:13:27:08	3.0	274.2	1.09	0.005	0.9	0.0	1.02	0.0
12:15:2023:13:27:09	3.0	274.2	1.09	0.005	0.9	0.0	1.03	0.0
12:15:2023:13:27:10	3.0	274.2	1.09	0.005	0.9	0.0	1.03	0.0
12:15:2023:13:27:11	3.0	268.5	1.09	0.005	0.9	0.0	1.04	0.0
12:15:2023:13:27:12	3.0	265.8	1.09	0.004	0.9	0.0	1.03	0.0
12:15:2023:13:27:13	3.0	271.4	1.09	0.004	0.9	0.0	1.03	0.0
12:15:2023:13:27:14	3.0	274.2	1.09	0.005	0.9	0.0	1.03	0.0
12:15:2023:13:27:15	3.0	271.4	1.09	0.005	0.9	0.0	1.04	0.0
12:15:2023:13:27:16	2.0	271.4	1.09	0.005	0.9	0.0	1.02	0.0
12:15:2023:13:27:17	2.0	255.4	1.09	0.004	0.9	0.0	1.04	0.0
12:15:2023:13:27:18	2.0	245.8	1.09	0.004	0.9	0.0	1.04	0.0
12:15:2023:13:27:19	2.0	230.5	1.09	0.004	0.6	0.0	1.04	0.0
12:15:2023:13:27:20	2.0	228.5	1.09	0.004	0.6	0.0	1.04	0.0
12:15:2023:13:27:21	2.0	228.5	1.09	0.004	0.6	0.0	1.04	0.0
12:15:2023:13:27:22	2.0	224.6	1.09	0.004	0.6	0.0	1.04	0.0
12:15:2023:13:27:23	2.0	224.6	1.09	0.004	0.6	0.0	1.04	0.0
12:15:2023:13:27:24	2.0	236.8	1.09	0.004	0.6	0.0	1.04	0.0
12:15:2023:13:27:25	2.0	234.7	1.09	0.004	0.6	0.0	1.04	0.0
12:15:2023:13:27:26	2.0	234.7	1.09	0.004	0.6	0.0	1.04	0.0
12:15:2023:13:27:27	2.0	228.5	1.09	0.004	0.6	0.0	1.04	0.0
12:15:2023:13:27:28	2.0	232.6	1.09	0.004	0.6	0.0	1.03	0.0
12:15:2023:13:27:29	2.0	234.7	1.09	0.004	0.6	0.0	1.03	0.0
12:15:2023:13:27:30	2.0	228.5	1.09	0.004	0.6	0.0	1.03	0.0
12:15:2023:13:27:31	2.0	228.5	1.09	0.004	0.6	0.0	1.02	0.0
12:15:2023:13:27:32	2.0	232.6	1.09	0.004	0.6	0.0	1.03	0.0
12:15:2023:13:27:34	2.0	228.5	1.09	0.008	0.6	0.0	1.02	0.0
12:15:2023:13:27:35	2.0	228.5	1.09	0.004	0.6	0.0	1.02	0.0
12:15:2023:13:27:36	2.0	226.5	1.09	0.004	0.6	0.0	1.03	0.0
12:15:2023:13:27:37	2.0	224.6	1.09	0.004	0.6	0.0	1.03	0.0
12:15:2023:13:27:38	2.0	228.5	1.09	0.004	0.6	0.0	1.03	0.0
12:15:2023:13:27:39	2.0	224.6	1.09	0.004	0.6	0.0	1.03	0.0
12:15:2023:13:27:40	2.0	224.6	1.09	0.004	0.6	0.0	1.03	0.0
12:15:2023:13:27:41	2.0	220.7	1.09	0.004	0.6	0.0	1.03	0.0
12:15:2023:13:27:42	2.0	226.5	1.09	0.004	0.6	0.0	1.03	0.0
12:15:2023:13:27:43	2.0	228.5	1.09	0.004	0.6	0.0	1.03	0.0
12:15:2023:13:27:44	2.0	224.6	1.09	0.004	0.6	0.0	1.03	0.0
12:15:2023:13:27:45	1.0	27.3	1.09	0.002	0.6	0.0	1.04	0.0
12:15:2023:13:27:46	2.0	182.2	1.09	0.002	-0.1	0.0	1.03	0.0
12:15:2023:13:27:47	2.0	182.2	1.09	0.003	0.3	0.0	1.04	0.0
12:15:2023:13:27:48	2.0	134.3	1.08	0.003	0.3	0.0	1.02	0.0
12:15:2023:13:27:49	2.0	141.6	1.09	0.002	0.6	0.0	1.04	0.0
12:15:2023:13:27:50	1.0	137.8	1.09	0.002	0.6	0.0	1.04	0.0
12:15:2023:13:27:51	1.0	22.6	1.09	0.001	-0.4	0.0	1.05	0.0
12:15:2023:13:27:52	2.0	0.0	1.09	0.000	0.3	0.0	1.05	0.0
12:15:2023:13:27:53	1.0	0.0	1.09	0.000	-0.1	0.0	1.04	0.0
12:15:2023:13:27:54	1.0	0.0	1.09	0.000	-0.4	0.0	1.04	0.0
12:15:2023:13:27:55	1.0	0.0	1.09	0.000	-0.1	0.0	1.05	0.0
12:15:2023:13:27:56	1.0	0.0	1.09	0.000	-0.1	0.0	1.05	0.0
12:15:2023:13:27:57	1.0	0.0	1.09	0.000	-0.1	0.0	1.05	0.0
12:15:2023:13:27:58	1.0	0.0	1.09	0.000	-0.1	0.0	1.05	0.0
12:15:2023:13:27:59	1.0	0.0	1.09	0.000	-0.1	0.0	1.05	0.0
12:15:2023:13:28:00	1.0	0.0	1.09	0.000	-0.1	0.0	1.05	0.0
12:15:2023:13:28:01	1.0	0.0	1.09	0.000	-0.1	0.0	1.05	0.0
12:15:2023:13:28:02	1.0	0.0	1.09	0.000	-0.1	0.0	1.05	0.0
